Description	
Number of Runs	500
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
485	1000	640	1	11/25/11 05:35:16 AM	
486	1000	594	1	11/25/11 05:35:17 AM	
487	1000	691	1	11/25/11 05:35:19 AM	
488	1000	634	1	11/25/11 05:35:20 AM	
489	1000	632	1	11/25/11 05:35:21 AM	
490	1000	665	1	11/25/11 05:35:22 AM	
491	1000	603	1	11/25/11 05:35:24 AM	
492	1000	669	1	11/25/11 05:35:25 AM	
493	1000	636	1	11/25/11 05:35:26 AM	
494	1000	666	1	11/25/11 05:35:27 AM	
495	1000	619	1	11/25/11 05:35:28 AM	
496	1000	654	1	11/25/11 05:35:30 AM	
497	1000	643	1	11/25/11 05:35:31 AM	
498	1000	668	1	11/25/11 05:35:32 AM	
499	1000	640	1	11/25/11 05:35:33 AM	
500	1000	654	1	11/25/11 05:35:34 AM	
